[INFO ][15:30:21,690][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:152][Start resolving model：error[global error code]]
[INFO ][15:30:21,691][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:157][Finish resolving model[0.001s][24]：error[global error code]]
[INFO ][15:30:21,691][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:103][Finish resolving model group[0.001s][24]：global error code config]
[INFO ][15:30:21,694][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:76][Start loading model group：named SQL config]
[INFO ][15:30:21,694][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:152][Start loading model：namedsql[named SQL]]
[INFO ][15:30:21,860][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:157][Finish loading model[0.166s][10]：namedsql[named SQL]]
[INFO ][15:30:21,860][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:88][Finish loading model group[0.167s][10]：named SQL config]
[INFO ][15:30:21,860][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:98][Start resolving model group：named SQL config]
[INFO ][15:30:21,860][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:152][Start resolving model：namedsql[named SQL]]
[INFO ][15:30:21,874][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:157][Finish resolving model[0.014s][10]：namedsql[named SQL]]
[INFO ][15:30:21,874][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:103][Finish resolving model group[0.014s][10]：named SQL config]
[INFO ][15:30:21,877][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:76][Start loading model group：component config]
[INFO ][15:30:21,877][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:152][Start loading model：component[component config]]
[INFO ][15:30:21,964][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:157][Finish loading model[0.087s][10]：component[component config]]
[INFO ][15:30:21,964][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:88][Finish loading model group[0.087s][10]：component config]
[INFO ][15:30:21,964][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:98][Start resolving model group：component config]
[INFO ][15:30:21,964][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:152][Start resolving model：component[component config]]
[INFO ][15:30:21,970][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:157][Finish resolving model[0.006s][10]：component[component config]]
[INFO ][15:30:21,970][main][ ][cn.sunline.adp.metadata.loader.util.ModelManager:103][Finish resolving model group[0.006s][10]：component config]
[INFO ][15:30:22,412][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:22,473][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:24,065][main][ ][com.alibaba.druid.pool.DruidDataSource:990][{dataSource-1} inited]
[INFO ][15:30:24,746][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisSqlProcessor:482][[653][FRWDB]SQL[KSysOnlTable.tsp_table_control.Entity.selectAll][null][0-10000]RowCount=0]
[INFO ][15:30:24,869][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisSqlProcessor:482][[113][FRWDB]SQL[KSysOnlTable.tsp_param_version_info.Entity.selectByIndex_odb1][{param_code=*}][0-10000]RowCount=0]
[INFO ][15:30:24,879][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:24,912][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:24,948][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:24,991][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,021][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,051][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,088][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,107][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,152][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,191][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,247][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,270][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,306][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
[INFO ][15:30:25,347][main][ ][cn.sunline.adp.metadata.mybatis.MyBatisConfigUtil:281][Set the database id to mysql]
